,id,date-time,x,y,res,final
0,1,2021-10-14 13:29:08.945,4240,-1799,8,8
1,2,2021-10-14 13:29:09.251,4238,-1795,8,8
2,3,2021-10-14 13:29:09.532,4236,-1794,8,8
3,4,2021-10-14 13:29:09.773,4236,-1791,8,8
4,5,2021-10-14 13:29:09.974,4235,-1789,8,8
5,6,2021-10-14 13:29:10.225,4234,-1790,8,8
6,7,2021-10-14 13:29:10.476,4234,-1788,8,8
7,8,2021-10-14 13:29:10.706,4233,-1789,8,8
8,9,2021-10-14 13:29:10.967,4233,-1788,8,8
9,10,2021-10-14 13:29:11.389,4234,-1788,8,8
10,11,2021-10-14 13:29:27.553,4186,-1710,8,8
11,12,2021-10-14 13:29:27.871,4183,-1705,8,8
12,13,2021-10-14 13:29:28.112,4182,-1703,8,8
13,14,2021-10-14 13:29:28.353,4180,-1703,8,8
14,15,2021-10-14 13:29:28.564,4180,-1703,8,8
15,16,2021-10-14 13:29:28.815,4180,-1702,8,8
16,17,2021-10-14 13:29:29.046,4180,-1700,8,8
17,18,2021-10-14 13:29:29.256,4179,-1700,8,8
18,19,2021-10-14 13:29:29.561,4179,-1701,8,8
19,20,2021-10-14 13:29:29.999,4180,-1698,8,8
20,21,2021-10-14 13:29:42.842,4239,-1787,8,8
21,22,2021-10-14 13:29:43.139,4238,-1785,8,8
22,23,2021-10-14 13:29:43.37,4237,-1785,8,8
23,24,2021-10-14 13:29:43.511,4237,-1783,8,8
24,25,2021-10-14 13:29:43.741,4237,-1782,8,8
25,26,2021-10-14 13:29:43.962,4236,-1781,8,8
26,27,2021-10-14 13:29:44.183,4236,-1781,8,8
27,28,2021-10-14 13:29:44.374,4235,-1779,8,8
28,29,2021-10-14 13:29:44.584,4235,-1778,8,8
29,30,2021-10-14 13:29:44.886,4234,-1779,8,8
30,31,2021-10-14 13:29:58.314,4234,-1789,8,8
31,32,2021-10-14 13:29:58.668,4232,-1786,8,8
32,33,2021-10-14 13:29:58.909,4232,-1784,8,8
33,34,2021-10-14 13:29:59.139,4230,-1782,8,8
34,35,2021-10-14 13:29:59.33,4230,-1782,8,8
35,36,2021-10-14 13:29:59.542,4228,-1780,8,8
36,37,2021-10-14 13:29:59.762,4229,-1781,8,8
37,38,2021-10-14 13:30:00.133,4229,-1781,8,8
38,39,2021-10-14 13:30:00.355,4229,-1780,8,8
39,40,2021-10-14 13:30:00.655,4228,-1779,8,8
40,41,2021-10-14 13:30:13.697,4241,-1796,8,8
41,42,2021-10-14 13:30:14.147,4239,-1793,8,8
42,43,2021-10-14 13:30:14.398,4238,-1791,8,8
43,44,2021-10-14 13:30:14.649,4236,-1790,8,8
44,45,2021-10-14 13:30:14.859,4237,-1788,8,8
45,46,2021-10-14 13:30:15.06,4236,-1788,8,8
46,47,2021-10-14 13:30:15.261,4235,-1787,8,8
47,48,2021-10-14 13:30:15.472,4235,-1786,8,8
48,49,2021-10-14 13:30:15.672,4235,-1786,8,8
49,50,2021-10-14 13:30:16.054,4235,-1786,8,8
50,51,2021-10-14 13:30:30.447,4188,-1720,8,8
51,52,2021-10-14 13:30:30.75,4187,-1720,8,8
52,53,2021-10-14 13:30:30.96,4187,-1718,8,8
53,54,2021-10-14 13:30:31.151,4186,-1717,8,8
54,55,2021-10-14 13:30:31.332,4186,-1716,8,8
55,56,2021-10-14 13:30:31.522,4184,-1716,8,8
56,57,2021-10-14 13:30:31.713,4184,-1714,8,8
57,58,2021-10-14 13:30:31.914,4184,-1714,8,8
58,59,2021-10-14 13:30:32.105,4184,-1713,8,8
59,60,2021-10-14 13:30:32.406,4182,-1714,8,8
60,61,2021-10-14 13:30:55.706,4190,-1719,8,8
61,62,2021-10-14 13:30:56.085,4187,-1715,8,8
62,63,2021-10-14 13:30:56.331,4186,-1714,8,8
63,64,2021-10-14 13:30:56.507,4185,-1712,8,8
64,65,2021-10-14 13:30:56.717,4185,-1711,8,8
65,66,2021-10-14 13:30:56.908,4184,-1710,8,8
66,67,2021-10-14 13:30:57.109,4184,-1710,8,8
67,68,2021-10-14 13:30:57.299,4183,-1709,8,8
68,69,2021-10-14 13:30:57.512,4183,-1708,8,8
69,70,2021-10-14 13:30:57.831,4182,-1709,8,8
70,71,2021-10-14 13:31:14.657,4243,-1798,8,8
71,72,2021-10-14 13:31:15.017,4241,-1796,8,8
72,73,2021-10-14 13:31:15.228,4240,-1791,8,8
73,74,2021-10-14 13:31:15.428,4239,-1791,8,8
74,75,2021-10-14 13:31:15.609,4240,-1790,8,8
75,76,2021-10-14 13:31:15.829,4238,-1790,8,8
76,77,2021-10-14 13:31:16.03,4237,-1788,8,8
77,78,2021-10-14 13:31:16.241,4238,-1788,8,8
78,79,2021-10-14 13:31:16.432,4237,-1788,8,8
79,80,2021-10-14 13:31:16.693,4236,-1787,8,8
80,81,2021-10-14 13:31:35.175,4235,-1791,8,8
81,82,2021-10-14 13:31:35.584,4233,-1790,8,8
82,83,2021-10-14 13:31:35.875,4232,-1787,8,8
83,84,2021-10-14 13:31:36.109,4232,-1786,8,8
84,85,2021-10-14 13:31:36.297,4230,-1785,8,8
85,86,2021-10-14 13:31:36.498,4229,-1784,8,8
86,87,2021-10-14 13:31:36.688,4231,-1783,8,8
87,88,2021-10-14 13:31:36.889,4229,-1783,8,8
88,89,2021-10-14 13:31:37.15,4229,-1782,8,8
89,90,2021-10-14 13:31:37.471,4228,-1782,8,8
90,91,2021-10-14 13:31:54.957,4231,-1784,8,8
91,92,2021-10-14 13:31:55.349,4228,-1780,8,8
92,93,2021-10-14 13:31:55.57,4226,-1779,8,8
93,94,2021-10-14 13:31:55.75,4227,-1776,8,8
94,95,2021-10-14 13:31:55.931,4227,-1776,8,8
95,96,2021-10-14 13:31:56.142,4227,-1776,8,8
96,97,2021-10-14 13:31:56.393,4226,-1774,8,8
97,98,2021-10-14 13:31:56.639,4225,-1773,8,8
98,99,2021-10-14 13:31:56.904,4225,-1774,8,8
99,100,2021-10-14 13:31:57.317,4226,-1772,8,8
