,id,date-time,x,y,res,final
0,1,2021-10-18 13:42:49.576,4098,120,8,8
1,2,2021-10-18 13:42:49.877,4098,120,8,8
2,3,2021-10-18 13:42:50.078,4098,119,8,8
3,4,2021-10-18 13:42:50.268,4097,119,8,8
4,5,2021-10-18 13:42:50.409,4098,119,8,8
5,6,2021-10-18 13:42:50.58,4098,119,8,8
6,7,2021-10-18 13:42:50.76,4098,120,8,8
7,8,2021-10-18 13:42:50.931,4098,119,8,8
8,9,2021-10-18 13:42:51.212,4098,119,8,8
9,10,2021-10-18 13:42:51.503,4097,120,8,8
10,11,2021-10-18 13:43:08.621,3888,83,8,8
11,12,2021-10-18 13:43:08.959,3889,83,8,8
12,13,2021-10-18 13:43:09.18,3888,83,8,8
13,14,2021-10-18 13:43:09.351,3889,83,8,8
14,15,2021-10-18 13:43:09.702,3888,83,8,8
15,16,2021-10-18 13:43:09.863,3889,83,8,8
16,17,2021-10-18 13:43:10.043,3888,82,8,8
17,18,2021-10-18 13:43:10.204,3889,83,8,8
18,19,2021-10-18 13:43:10.475,3888,83,8,8
19,20,2021-10-18 13:43:10.746,3889,83,8,8
20,21,2021-10-18 13:43:25.219,4055,128,8,8
21,22,2021-10-18 13:43:25.632,4055,128,8,8
22,23,2021-10-18 13:43:25.873,4056,128,8,8
23,24,2021-10-18 13:43:26.117,4055,128,8,8
24,25,2021-10-18 13:43:26.285,4055,128,8,8
25,26,2021-10-18 13:43:26.495,4055,128,8,8
26,27,2021-10-18 13:43:26.696,4055,128,8,8
27,28,2021-10-18 13:43:26.897,4055,128,8,8
28,29,2021-10-18 13:43:27.078,4055,128,8,8
29,30,2021-10-18 13:43:27.479,4055,127,8,8
30,31,2021-10-18 13:43:41.28,4076,122,8,8
31,32,2021-10-18 13:43:41.633,4076,122,8,8
32,33,2021-10-18 13:43:41.864,4075,122,8,8
33,34,2021-10-18 13:43:42.054,4076,122,8,8
34,35,2021-10-18 13:43:42.235,4076,122,8,8
35,36,2021-10-18 13:43:42.396,4076,122,8,8
36,37,2021-10-18 13:43:42.586,4076,122,8,8
37,38,2021-10-18 13:43:42.767,4076,122,8,8
38,39,2021-10-18 13:43:42.958,4076,122,8,8
39,40,2021-10-18 13:43:43.158,4076,122,8,8
40,41,2021-10-18 13:43:57.167,4107,118,8,8
41,42,2021-10-18 13:43:57.512,4107,118,8,8
42,43,2021-10-18 13:43:57.723,4107,117,8,8
43,44,2021-10-18 13:43:57.904,4107,118,8,8
44,45,2021-10-18 13:43:58.094,4107,117,8,8
45,46,2021-10-18 13:43:58.295,4107,118,8,8
46,47,2021-10-18 13:43:58.486,4107,118,8,8
47,48,2021-10-18 13:43:58.676,4107,118,8,8
48,49,2021-10-18 13:43:58.887,4108,118,8,8
49,50,2021-10-18 13:43:59.059,4107,118,8,8
50,51,2021-10-18 13:44:13.979,3913,78,8,8
51,52,2021-10-18 13:44:14.346,3913,78,8,8
52,53,2021-10-18 13:44:14.617,3913,78,8,8
53,54,2021-10-18 13:44:14.828,3913,79,8,8
54,55,2021-10-18 13:44:15.018,3912,79,8,8
55,56,2021-10-18 13:44:15.24,3914,78,8,8
56,57,2021-10-18 13:44:15.42,3913,79,8,8
57,58,2021-10-18 13:44:15.62,3913,78,8,8
58,59,2021-10-18 13:44:15.851,3913,79,8,8
59,60,2021-10-18 13:44:16.022,3913,78,8,8
60,61,2021-10-18 13:44:29.038,3892,84,8,8
61,62,2021-10-18 13:44:29.393,3893,84,8,8
62,63,2021-10-18 13:44:29.634,3892,83,8,8
63,64,2021-10-18 13:44:29.814,3892,83,8,8
64,65,2021-10-18 13:44:30.015,3892,84,8,8
65,66,2021-10-18 13:44:30.196,3892,84,8,8
66,67,2021-10-18 13:44:30.376,3893,84,8,8
67,68,2021-10-18 13:44:30.576,3892,83,8,8
68,69,2021-10-18 13:44:30.738,3892,83,8,8
69,70,2021-10-18 13:44:30.918,3892,84,8,8
70,71,2021-10-18 13:44:45.77,4092,119,8,8
71,72,2021-10-18 13:44:46.066,4092,119,8,8
72,73,2021-10-18 13:44:46.307,4092,119,8,8
73,74,2021-10-18 13:44:46.508,4092,119,8,8
74,75,2021-10-18 13:44:46.707,4092,119,8,8
75,76,2021-10-18 13:44:46.869,4093,119,8,8
76,77,2021-10-18 13:44:47.06,4093,119,8,8
77,78,2021-10-18 13:44:47.26,4092,118,8,8
78,79,2021-10-18 13:44:47.491,4092,119,8,8
79,80,2021-10-18 13:44:47.692,4092,119,8,8
80,81,2021-10-18 13:45:01.799,4074,121,8,8
81,82,2021-10-18 13:45:02.167,4073,121,8,8
82,83,2021-10-18 13:45:02.368,4073,120,8,8
83,84,2021-10-18 13:45:02.578,4073,121,8,8
84,85,2021-10-18 13:45:02.759,4074,121,8,8
85,86,2021-10-18 13:45:02.93,4073,122,8,8
86,87,2021-10-18 13:45:03.13,4073,121,8,8
87,88,2021-10-18 13:45:03.336,4073,121,8,8
88,89,2021-10-18 13:45:03.502,4073,122,8,8
89,90,2021-10-18 13:45:03.693,4073,121,8,8
90,91,2021-10-18 13:45:17.89,4048,120,8,8
91,92,2021-10-18 13:45:18.278,4048,120,8,8
92,93,2021-10-18 13:45:18.499,4048,120,8,8
93,94,2021-10-18 13:45:18.69,4048,121,8,8
94,95,2021-10-18 13:45:18.89,4048,120,8,8
95,96,2021-10-18 13:45:19.041,4047,121,8,8
96,97,2021-10-18 13:45:19.223,4048,121,8,8
97,98,2021-10-18 13:45:19.402,4048,120,8,8
98,99,2021-10-18 13:45:19.593,4048,120,8,8
99,100,2021-10-18 13:45:19.753,4048,120,8,8
