,0,1
0,1,"[{'id': 1, 'x': 4098, 'y': 120, 'valid': 'OK'}, {'id': 2, 'valid': 'KO'}, {'id': 3, 'x': 4098, 'y': 119, 'valid': 'OK'}, {'id': 4, 'x': 4097, 'y': 119, 'valid': 'OK'}, {'id': 5, 'valid': 'KO'}, {'id': 6, 'valid': 'KO'}, {'id': 7, 'valid': 'KO'}, {'id': 8, 'valid': 'KO'}, {'id': 9, 'x': 4098, 'y': 119, 'valid': 'OK'}, {'id': 10, 'x': 4097, 'y': 120, 'valid': 'OK'}]"
1,2,"[{'id': 1, 'x': 3888, 'y': 83, 'valid': 'KO'}, {'id': 2, 'x': 3889, 'y': 83, 'valid': 'KO'}, {'id': 3, 'x': 3888, 'y': 83, 'valid': 'KO'}, {'id': 4, 'x': 3889, 'y': 83, 'valid': 'KO'}, {'id': 5, 'x': 3888, 'y': 83, 'valid': 'KO'}, {'id': 6, 'x': 3889, 'y': 83, 'valid': 'KO'}, {'id': 7, 'x': 3888, 'y': 82, 'valid': 'KO'}, {'id': 8, 'x': 3889, 'y': 83, 'valid': 'KO'}, {'id': 9, 'x': 3888, 'y': 83, 'valid': 'KO'}, {'id': 10, 'x': 3889, 'y': 83, 'valid': 'KO'}]"
2,3,"[{'id': 1, 'x': 4055, 'y': 128, 'valid': 'KO'}, {'id': 2, 'x': 4055, 'y': 128, 'valid': 'KO'}, {'id': 3, 'x': 4056, 'y': 128, 'valid': 'KO'}, {'id': 4, 'x': 4055, 'y': 128, 'valid': 'KO'}, {'id': 5, 'x': 4055, 'y': 128, 'valid': 'KO'}, {'id': 6, 'x': 4055, 'y': 128, 'valid': 'KO'}, {'id': 7, 'x': 4055, 'y': 128, 'valid': 'KO'}, {'id': 8, 'x': 4055, 'y': 128, 'valid': 'KO'}, {'id': 9, 'x': 4055, 'y': 128, 'valid': 'KO'}, {'id': 10, 'x': 4055, 'y': 127, 'valid': 'KO'}]"
3,4,"[{'id': 1, 'x': 4076, 'y': 122, 'valid': 'KO'}, {'id': 2, 'x': 4076, 'y': 122, 'valid': 'KO'}, {'id': 3, 'x': 4075, 'y': 122, 'valid': 'KO'}, {'id': 4, 'x': 4076, 'y': 122, 'valid': 'KO'}, {'id': 5, 'x': 4076, 'y': 122, 'valid': 'KO'}, {'id': 6, 'x': 4076, 'y': 122, 'valid': 'KO'}, {'id': 7, 'x': 4076, 'y': 122, 'valid': 'KO'}, {'id': 8, 'x': 4076, 'y': 122, 'valid': 'KO'}, {'id': 9, 'x': 4076, 'y': 122, 'valid': 'KO'}, {'id': 10, 'x': 4076, 'y': 122, 'valid': 'KO'}]"
4,5,"[{'id': 1, 'x': 4107, 'y': 118, 'valid': 'OK'}, {'id': 2, 'x': 4107, 'y': 118, 'valid': 'OK'}, {'id': 3, 'x': 4107, 'y': 117, 'valid': 'OK'}, {'id': 4, 'x': 4107, 'y': 118, 'valid': 'OK'}, {'id': 5, 'x': 4107, 'y': 117, 'valid': 'OK'}, {'id': 6, 'x': 4107, 'y': 118, 'valid': 'OK'}, {'id': 7, 'x': 4107, 'y': 118, 'valid': 'OK'}, {'id': 8, 'x': 4107, 'y': 118, 'valid': 'OK'}, {'id': 9, 'x': 4108, 'y': 118, 'valid': 'OK'}, {'id': 10, 'x': 4107, 'y': 118, 'valid': 'OK'}]"
5,6,"[{'id': 1, 'x': 3913, 'y': 78, 'valid': 'KO'}, {'id': 2, 'x': 3913, 'y': 78, 'valid': 'KO'}, {'id': 3, 'x': 3913, 'y': 78, 'valid': 'KO'}, {'id': 4, 'x': 3913, 'y': 79, 'valid': 'KO'}, {'id': 5, 'x': 3912, 'y': 79, 'valid': 'KO'}, {'id': 6, 'x': 3914, 'y': 78, 'valid': 'KO'}, {'id': 7, 'x': 3913, 'y': 79, 'valid': 'KO'}, {'id': 8, 'x': 3913, 'y': 78, 'valid': 'KO'}, {'id': 9, 'x': 3913, 'y': 79, 'valid': 'KO'}, {'id': 10, 'x': 3913, 'y': 78, 'valid': 'KO'}]"
6,7,"[{'id': 1, 'x': 3892, 'y': 84, 'valid': 'KO'}, {'id': 2, 'x': 3893, 'y': 84, 'valid': 'KO'}, {'id': 3, 'x': 3892, 'y': 83, 'valid': 'KO'}, {'id': 4, 'x': 3892, 'y': 83, 'valid': 'KO'}, {'id': 5, 'x': 3892, 'y': 84, 'valid': 'KO'}, {'id': 6, 'x': 3892, 'y': 84, 'valid': 'KO'}, {'id': 7, 'x': 3893, 'y': 84, 'valid': 'KO'}, {'id': 8, 'x': 3892, 'y': 83, 'valid': 'KO'}, {'id': 9, 'x': 3892, 'y': 83, 'valid': 'KO'}, {'id': 10, 'x': 3892, 'y': 84, 'valid': 'KO'}]"
7,8,"[{'id': 1, 'x': 4092, 'y': 119, 'valid': 'OK'}, {'id': 2, 'x': 4092, 'y': 119, 'valid': 'OK'}, {'id': 3, 'x': 4092, 'y': 119, 'valid': 'OK'}, {'id': 4, 'x': 4092, 'y': 119, 'valid': 'OK'}, {'id': 5, 'x': 4092, 'y': 119, 'valid': 'OK'}, {'id': 6, 'x': 4093, 'y': 119, 'valid': 'OK'}, {'id': 7, 'x': 4093, 'y': 119, 'valid': 'OK'}, {'id': 8, 'x': 4092, 'y': 118, 'valid': 'OK'}, {'id': 9, 'x': 4092, 'y': 119, 'valid': 'OK'}, {'id': 10, 'x': 4092, 'y': 119, 'valid': 'OK'}]"
8,9,"[{'id': 1, 'x': 4074, 'y': 121, 'valid': 'KO'}, {'id': 2, 'x': 4073, 'y': 121, 'valid': 'KO'}, {'id': 3, 'x': 4073, 'y': 120, 'valid': 'KO'}, {'id': 4, 'x': 4073, 'y': 121, 'valid': 'KO'}, {'id': 5, 'x': 4074, 'y': 121, 'valid': 'KO'}, {'id': 6, 'x': 4073, 'y': 122, 'valid': 'KO'}, {'id': 7, 'x': 4073, 'y': 121, 'valid': 'KO'}, {'id': 8, 'x': 4073, 'y': 121, 'valid': 'KO'}, {'id': 9, 'x': 4073, 'y': 122, 'valid': 'KO'}, {'id': 10, 'x': 4073, 'y': 121, 'valid': 'KO'}]"
9,10,"[{'id': 1, 'x': 4048, 'y': 120, 'valid': 'KO'}, {'id': 2, 'x': 4048, 'y': 120, 'valid': 'KO'}, {'id': 3, 'x': 4048, 'y': 120, 'valid': 'KO'}, {'id': 4, 'x': 4048, 'y': 121, 'valid': 'KO'}, {'id': 5, 'x': 4048, 'y': 120, 'valid': 'KO'}, {'id': 6, 'x': 4047, 'y': 121, 'valid': 'KO'}, {'id': 7, 'x': 4048, 'y': 121, 'valid': 'KO'}, {'id': 8, 'x': 4048, 'y': 120, 'valid': 'KO'}, {'id': 9, 'x': 4048, 'y': 120, 'valid': 'KO'}, {'id': 10, 'x': 4048, 'y': 120, 'valid': 'KO'}]"
