,id,date-time,x,y,res,final
0,1,2021-10-18 13:05:15.907,4242,-1793,8,8
1,2,2021-10-18 13:05:16.204,4239,-1788,8,8
2,3,2021-10-18 13:05:16.374,4237,-1788,8,8
3,4,2021-10-18 13:05:16.565,4237,-1787,8,8
4,5,2021-10-18 13:05:16.757,4236,-1784,8,8
5,6,2021-10-18 13:05:16.916,4235,-1783,8,8
6,7,2021-10-18 13:05:17.147,4235,-1783,8,8
7,8,2021-10-18 13:05:17.348,4235,-1783,8,8
8,9,2021-10-18 13:05:17.54,4235,-1782,8,8
9,10,2021-10-18 13:05:17.86,4234,-1782,8,8
10,11,2021-10-18 13:05:35.14,4185,-1710,8,8
11,12,2021-10-18 13:05:35.466,4183,-1707,8,8
12,13,2021-10-18 13:05:35.627,4182,-1706,8,8
13,14,2021-10-18 13:05:35.868,4182,-1704,8,8
14,15,2021-10-18 13:05:36.079,4181,-1702,8,8
15,16,2021-10-18 13:05:36.259,4180,-1701,8,8
16,17,2021-10-18 13:05:36.42,4180,-1701,8,8
17,18,2021-10-18 13:05:36.621,4180,-1699,8,8
18,19,2021-10-18 13:05:36.982,4179,-1701,8,8
19,20,2021-10-18 13:05:37.203,4178,-1698,8,8
20,21,2021-10-18 13:05:50.743,4231,-1781,8,8
21,22,2021-10-18 13:05:51.106,4230,-1778,8,8
22,23,2021-10-18 13:05:51.306,4228,-1777,8,8
23,24,2021-10-18 13:05:51.497,4228,-1776,8,8
24,25,2021-10-18 13:05:51.668,4227,-1775,8,8
25,26,2021-10-18 13:05:51.858,4227,-1774,8,8
26,27,2021-10-18 13:05:52.28,4227,-1775,8,8
27,28,2021-10-18 13:05:52.471,4227,-1775,8,8
28,29,2021-10-18 13:05:52.632,4226,-1773,8,8
29,30,2021-10-18 13:05:52.802,4226,-1773,8,8
30,31,2021-10-18 13:06:08.477,4238,-1785,8,8
31,32,2021-10-18 13:06:08.813,4236,-1781,8,8
32,33,2021-10-18 13:06:09.015,4234,-1778,8,8
33,34,2021-10-18 13:06:09.204,4232,-1777,8,8
34,35,2021-10-18 13:06:09.375,4232,-1776,8,8
35,36,2021-10-18 13:06:09.585,4232,-1775,8,8
36,37,2021-10-18 13:06:09.795,4232,-1775,8,8
37,38,2021-10-18 13:06:09.957,4231,-1775,8,8
38,39,2021-10-18 13:06:10.168,4231,-1773,8,8
39,40,2021-10-18 13:06:10.569,4231,-1774,8,8
40,41,2021-10-18 13:06:28.273,4244,-1799,8,8
41,42,2021-10-18 13:06:28.516,4241,-1798,8,8
42,43,2021-10-18 13:06:28.765,4242,-1796,8,8
43,44,2021-10-18 13:06:28.959,4240,-1794,8,8
44,45,2021-10-18 13:06:29.159,4239,-1793,8,8
45,46,2021-10-18 13:06:29.35,4238,-1792,8,8
46,47,2021-10-18 13:06:29.542,4238,-1792,8,8
47,48,2021-10-18 13:06:29.721,4238,-1791,8,8
48,49,2021-10-18 13:06:29.922,4237,-1792,8,8
49,50,2021-10-18 13:06:30.133,4237,-1790,8,8
50,51,2021-10-18 13:06:45.218,4190,-1721,8,8
51,52,2021-10-18 13:06:45.562,4189,-1717,8,8
52,53,2021-10-18 13:06:45.792,4186,-1716,8,8
53,54,2021-10-18 13:06:45.983,4186,-1714,8,8
54,55,2021-10-18 13:06:46.189,4186,-1712,8,8
55,56,2021-10-18 13:06:46.385,4185,-1712,8,8
56,57,2021-10-18 13:06:46.566,4185,-1712,8,8
57,58,2021-10-18 13:06:46.772,4183,-1710,8,8
58,59,2021-10-18 13:06:46.969,4184,-1709,8,8
59,60,2021-10-18 13:06:47.318,4183,-1710,8,8
60,61,2021-10-18 13:07:01.218,4182,-1704,8,8
61,62,2021-10-18 13:07:01.642,4182,-1703,8,8
62,63,2021-10-18 13:07:01.873,4180,-1701,8,8
63,64,2021-10-18 13:07:02.064,4182,-1701,8,8
64,65,2021-10-18 13:07:02.265,4179,-1700,8,8
65,66,2021-10-18 13:07:02.513,4180,-1699,8,8
66,67,2021-10-18 13:07:02.696,4178,-1699,8,8
67,68,2021-10-18 13:07:02.877,4178,-1699,8,8
68,69,2021-10-18 13:07:03.098,4179,-1699,8,8
69,70,2021-10-18 13:07:03.349,4179,-1700,8,8
70,71,2021-10-18 13:07:17.058,4239,-1790,8,8
71,72,2021-10-18 13:07:17.372,4238,-1788,8,8
72,73,2021-10-18 13:07:17.643,4236,-1787,8,8
73,74,2021-10-18 13:07:17.814,4235,-1785,8,8
74,75,2021-10-18 13:07:18.024,4235,-1785,8,8
75,76,2021-10-18 13:07:18.208,4235,-1784,8,8
76,77,2021-10-18 13:07:18.42,4233,-1784,8,8
77,78,2021-10-18 13:07:18.613,4234,-1783,8,8
78,79,2021-10-18 13:07:18.797,4234,-1783,8,8
79,80,2021-10-18 13:07:19.028,4233,-1783,8,8
80,81,2021-10-18 13:07:32.871,4237,-1784,8,8
