,id,date-time,x,y,res,final
0,1,2021-10-18 13:09:46.06,4107,119,8,8
1,2,2021-10-18 13:09:46.345,4107,118,8,8
2,3,2021-10-18 13:09:46.847,4107,119,8,8
3,4,2021-10-18 13:09:46.948,4107,117,8,8
4,5,2021-10-18 13:09:47.049,4107,119,8,8
5,6,2021-10-18 13:09:47.148,4108,118,8,8
6,7,2021-10-18 13:09:47.249,4107,118,8,8
7,8,2021-10-18 13:09:47.373,4107,119,8,8
8,9,2021-10-18 13:09:47.449,4106,118,8,8
9,10,2021-10-18 13:09:47.55,4107,118,8,8
10,11,2021-10-18 13:09:47.658,4106,119,8,8
11,12,2021-10-18 13:09:47.751,4107,118,8,8
12,13,2021-10-18 13:09:47.881,4108,118,8,8
13,14,2021-10-18 13:09:47.951,4106,118,8,8
14,15,2021-10-18 13:09:48.052,4108,119,8,8
15,16,2021-10-18 13:09:48.155,4107,118,8,8
16,17,2021-10-18 13:09:48.252,4107,118,8,8
17,18,2021-10-18 13:09:48.353,4107,118,8,8
18,19,2021-10-18 13:09:48.453,4106,118,8,8
19,20,2021-10-18 13:09:48.554,4107,118,8,8
20,21,2021-10-18 13:09:48.665,4107,118,8,8
21,22,2021-10-18 13:09:48.754,4106,118,8,8
22,23,2021-10-18 13:09:48.859,4107,119,8,8
23,24,2021-10-18 13:09:48.955,4106,118,8,8
24,25,2021-10-18 13:09:49.055,4107,119,8,8
25,26,2021-10-18 13:09:49.197,4106,118,8,8
26,27,2021-10-18 13:09:49.256,4106,118,8,8
27,28,2021-10-18 13:09:49.356,4107,119,8,8
28,29,2021-10-18 13:09:49.466,4106,118,8,8
29,30,2021-10-18 13:09:49.557,4107,118,8,8
30,31,2021-10-18 13:09:49.658,4107,118,8,8
31,32,2021-10-18 13:09:49.758,4106,118,8,8
32,33,2021-10-18 13:09:49.858,4107,119,8,8
33,34,2021-10-18 13:09:49.973,4107,118,8,8
34,35,2021-10-18 13:09:50.059,4107,118,8,8
35,36,2021-10-18 13:09:50.159,4107,118,8,8
36,37,2021-10-18 13:09:50.269,4107,118,8,8
37,38,2021-10-18 13:09:50.36,4107,118,8,8
38,39,2021-10-18 13:09:50.493,4106,118,8,8
39,40,2021-10-18 13:09:50.561,4106,118,8,8
40,41,2021-10-18 13:09:50.661,4106,118,8,8
41,42,2021-10-18 13:09:50.761,4107,118,8,8
42,43,2021-10-18 13:09:50.862,4106,118,8,8
43,44,2021-10-18 13:09:51.003,4107,118,8,8
44,45,2021-10-18 13:09:51.063,4106,119,8,8
45,46,2021-10-18 13:09:51.163,4107,118,8,8
46,47,2021-10-18 13:09:51.282,4107,118,8,8
47,48,2021-10-18 13:09:51.364,4106,118,8,8
48,49,2021-10-18 13:09:51.464,4107,118,8,8
49,50,2021-10-18 13:09:51.706,4107,118,8,8
50,51,2021-10-18 13:09:58.73,4108,118,8,8
51,52,2021-10-18 13:09:58.883,4106,118,8,8
52,53,2021-10-18 13:09:59.385,4107,119,8,8
53,54,2021-10-18 13:09:59.485,4106,119,8,8
54,55,2021-10-18 13:09:59.587,4107,119,8,8
55,56,2021-10-18 13:09:59.686,4107,119,8,8
56,57,2021-10-18 13:09:59.786,4107,119,8,8
57,58,2021-10-18 13:09:59.886,4106,118,8,8
58,59,2021-10-18 13:09:59.987,4107,118,8,8
59,60,2021-10-18 13:10:00.1,4106,119,8,8
60,61,2021-10-18 13:10:00.188,4107,118,8,8
61,62,2021-10-18 13:10:00.288,4107,118,8,8
62,63,2021-10-18 13:10:00.388,4106,119,8,8
63,64,2021-10-18 13:10:00.489,4107,118,8,8
