,id,date-time,x,y,res,final
0,1,2021-10-14 12:22:53.834,4250,-1817,8,8
1,2,2021-10-14 12:22:54.126,4250,-1810,8,8
2,3,2021-10-14 12:22:54.615,4248,-1806,8,8
3,4,2021-10-14 12:22:54.715,4248,-1805,8,8
4,5,2021-10-14 12:22:54.815,4247,-1802,8,8
5,6,2021-10-14 12:22:54.919,4246,-1801,8,8
6,7,2021-10-14 12:22:55.016,4246,-1800,8,8
7,8,2021-10-14 12:22:55.121,4245,-1799,8,8
8,9,2021-10-14 12:22:55.217,4245,-1799,8,8
9,10,2021-10-14 12:22:55.317,4243,-1798,8,8
10,11,2021-10-14 12:22:55.441,4243,-1797,8,8
11,12,2021-10-14 12:22:55.518,4242,-1796,8,8
12,13,2021-10-14 12:22:55.618,4244,-1796,8,8
13,14,2021-10-14 12:22:55.719,4244,-1795,8,8
14,15,2021-10-14 12:22:55.819,4244,-1794,8,8
15,16,2021-10-14 12:22:55.919,4243,-1795,8,8
16,17,2021-10-14 12:22:56.02,4243,-1795,8,8
17,18,2021-10-14 12:22:56.12,4242,-1795,8,8
18,19,2021-10-14 12:22:56.221,4243,-1794,8,8
19,20,2021-10-14 12:22:56.321,4241,-1795,8,8
20,21,2021-10-14 12:22:56.421,4243,-1794,8,8
21,22,2021-10-14 12:22:56.522,4242,-1793,8,8
22,23,2021-10-14 12:22:56.622,4243,-1794,8,8
23,24,2021-10-14 12:22:56.749,4242,-1793,8,8
24,25,2021-10-14 12:22:56.823,4242,-1792,8,8
25,26,2021-10-14 12:22:56.923,4242,-1794,8,8
26,27,2021-10-14 12:22:57.023,4242,-1793,8,8
27,28,2021-10-14 12:22:57.124,4242,-1794,8,8
28,29,2021-10-14 12:22:57.261,4241,-1793,8,8
29,30,2021-10-14 12:22:57.325,4242,-1793,8,8
30,31,2021-10-14 12:22:57.425,4242,-1793,8,8
31,32,2021-10-14 12:22:57.554,4241,-1793,8,8
32,33,2021-10-14 12:22:57.626,4241,-1792,8,8
33,34,2021-10-14 12:22:57.728,4241,-1791,8,8
34,35,2021-10-14 12:22:57.826,4241,-1792,8,8
35,36,2021-10-14 12:22:57.927,4241,-1792,8,8
36,37,2021-10-14 12:22:58.041,4241,-1791,8,8
37,38,2021-10-14 12:22:58.128,4241,-1791,8,8
38,39,2021-10-14 12:22:58.228,4240,-1791,8,8
39,40,2021-10-14 12:22:58.333,4241,-1792,8,8
40,41,2021-10-14 12:22:58.429,4241,-1791,8,8
41,42,2021-10-14 12:22:58.56,4240,-1792,8,8
42,43,2021-10-14 12:22:58.629,4240,-1791,8,8
43,44,2021-10-14 12:22:58.73,4241,-1791,8,8
44,45,2021-10-14 12:22:58.844,4241,-1791,8,8
45,46,2021-10-14 12:22:58.931,4241,-1790,8,8
46,47,2021-10-14 12:22:59.031,4241,-1791,8,8
47,48,2021-10-14 12:22:59.131,4240,-1790,8,8
48,49,2021-10-14 12:22:59.432,4241,-1791,8,8
49,50,2021-10-14 12:22:59.603,4242,-1791,8,8
50,51,2021-10-14 12:23:06.091,4239,-1794,8,8
51,52,2021-10-14 12:23:06.408,4237,-1791,8,8
52,53,2021-10-14 12:23:06.91,4237,-1790,8,8
53,54,2021-10-14 12:23:07.011,4235,-1790,8,8
54,55,2021-10-14 12:23:07.135,4235,-1788,8,8
